姓名 (請填中文真實姓名),Email,手機,所在城市,服務機構,職稱,過去 14 天是否有發燒、咳嗽或呼吸急促症狀？（已服藥者亦須勾選「是」）,過去 14 天是否曾出國至其他境外地區？,同住親友是否有收到居家隔離通知單？,Timestamp
澹台佳宏,rep.chandra.nitzsche@gmail.com,0958478219,基隆市,花佳慧企業,,否,否,否,4/12/2022 3:54:23
闞佳宏,agustin.sawayn@yahoo.com,0938633489,嘉義縣,賈家銘股份有限公司,,否,否,否,4/12/2022 6:19:23
盧雅婷,janis.keeling@yahoo.com,0962006530,苗栗縣,,,否,否,否,4/12/2022 8:39:1
米慧如,kellee.conroy@yahoo.com,0920535600,澎湖縣,,,否,否,否,4/12/2022 12:34:18
巢淑華,todd.wisoky@gmail.com,0964364668,南投縣,虞慧玲有限公司,,否,否,否,4/13/2022 1:24:49
能雅惠,jasper.doyle@yahoo.com,0916056693,新竹縣,,,否,否,否,4/13/2022 5:52:40
邱彥廷,fr.sunshine.wyman@yahoo.com,0902929066,新竹市,,,否,否,否,4/13/2022 7:46:23
車鈺婷,ms.gerard.mcglynn@hotmail.com,0936962416,澎湖縣,後韻如銀行,技術總監,否,否,否,4/14/2022 4:38:17
駱筱婷,elina.hauck@hotmail.com,0965511171,臺北市,,iOS 開發者,否,否,否,4/14/2022 13:28:27
陽志強,nolan.volkman.jd@hotmail.com,0962828387,基隆市,雲淑玲電腦,後端開發者,否,否,否,4/14/2022 15:19:44
高淑婷,laticia.smitham.iii@yahoo.com,0915358101,新北市,班淑慧有限公司,,是,否,否,4/14/2022 18:19:6
聞建志,pres.tatyana.graham@yahoo.com,0904121506,宜蘭縣,,,否,否,否,4/14/2022 18:32:44
藍怡婷,rev.leota.stehr@gmail.com,0998194842,嘉義市,,Android 工程師,否,否,否,4/14/2022 20:32:21
強俊男,ines.franecki@gmail.com,0923498248,臺北市,,,否,否,否,4/15/2022 2:52:34
榮家豪,londa.o'hara@hotmail.com,0962556875,屏東縣,,,是,否,否,4/15/2022 4:32:6
貢佳慧,gov.richard.ruecker@yahoo.com,0989651022,基隆市,,,否,是,否,4/15/2022 4:36:32
繆宗憲,josefa.hills@gmail.com,0910101016,南投縣,,,否,否,否,4/15/2022 20:26:54
江筱婷,dr.jimmy.haley@gmail.com,0906775752,新北市,,,否,否,否,4/16/2022 3:32:18
鞠宗翰,marva.morar@hotmail.com,0976406846,臺中市,,,否,否,否,4/16/2022 9:26:16
陸怡伶,maryanne.wisozk@gmail.com,0948970271,澎湖縣,,,否,否,否,4/17/2022 9:26:37
上官家豪,freddie.dietrich@gmail.com,0929064477,嘉義市,,,否,否,否,4/17/2022 13:8:3
荊佳蓉,abdul.russel@gmail.com,0945435100,苗栗縣,,,否,否,否,4/17/2022 14:28:13
夔千慧,kimberlee.white@gmail.com,0995621957,宜蘭縣,,,否,否,否,4/17/2022 15:7:39
梅惠君,rep.al.krajcik@yahoo.com,0911528813,臺北市,,,否,否,否,4/18/2022 1:13:33
魯雅雯,elroy.dach.sr@gmail.com,0914388468,臺中市,,,否,否,否,4/18/2022 4:25:5
鍾雅玲,colin.rogahn@hotmail.com,0909979232,雲林縣,,,否,否,否,4/18/2022 7:33:11
卻怡如,logan.sporer@yahoo.com,0984273101,嘉義縣,甄靜雯銀行,實習生,否,否,否,4/18/2022 14:13:55
鞠惠玲,roger.nikolaus@yahoo.com,0967107354,臺東縣,,Android 開發者,否,否,是,4/18/2022 16:48:46
荊宗翰,eric.king@yahoo.com,0968600254,連江縣,,,否,否,否,4/18/2022 18:36:1
翟韻如,mr.iraida.wuckert@gmail.com,0963822435,新竹市,,,否,否,否,4/19/2022 11:49:48
令狐建良,leticia.romaguera@gmail.com,0986046962,花蓮縣,公惠婷網,,否,否,否,4/20/2022 6:2:43
安佳琪,leonida.hessel@hotmail.com,0952215867,花蓮縣,扈家瑋證券,Android Developer,否,否,否,4/20/2022 9:4:29
闕雅婷,rep.alfred.olson@gmail.com,0928647586,新竹市,苗佩玲企業,,否,否,否,4/20/2022 11:19:52
闕馨儀,andreas.grant@yahoo.com,0921122980,基隆市,,,否,否,否,4/20/2022 22:12:19
柯淑慧,shirleen.mcglynn@gmail.com,0944931062,桃園市,,實習生,否,否,否,4/21/2022 1:59:5
戎志強,rosario.smitham@gmail.com,0982596174,嘉義縣,,,否,否,否,4/21/2022 8:48:33
厙建文,cindy.romaguera@gmail.com,0912736076,桃園市,吉雅芳人壽,後端開發者,否,否,否,4/22/2022 2:46:15
倪俊豪,johnna.casper@gmail.com,0995190073,高雄市,,助理工程師,否,否,否,4/22/2022 14:55:14
祁怡靜,ernestine.ernser@gmail.com,0917818308,新北市,,,否,否,否,4/22/2022 15:57:2
司空怡靜,amb.kelly.altenwerth@hotmail.com,0977401133,新竹縣,,,否,否,否,4/22/2022 17:22:58
蔡文傑,angelique.braun@yahoo.com,0943908498,桃園市,,,否,否,否,4/23/2022 6:53:25
喬家瑋,pres.shanda.schultz@yahoo.com,0944510129,基隆市,,助理工程師,否,否,否,4/23/2022 8:10:24
單於佳宏,harry.johnston@yahoo.com,0948905698,基隆市,,,否,否,否,4/23/2022 13:51:50
任欣儀,dwain.zboncak@yahoo.com,0952114965,臺北市,,,否,否,否,4/23/2022 13:58:5
融惠婷,prof.duncan.bode@gmail.com,0913080347,新北市,,,否,否,否,4/23/2022 20:18:48
華建志,minta.gusikowski@hotmail.com,0957989784,臺北市,,,否,否,否,4/24/2022 3:45:2
烏俊男,mohamed.gusikowski@yahoo.com,0926245791,高雄市,,,否,否,否,4/24/2022 19:18:36
溥志強,lavinia.adams@gmail.com,0982022802,苗栗縣,,,否,否,否,4/24/2022 21:31:26
印怡如,annabelle.stanton@hotmail.com,0961184681,臺東縣,,,否,否,否,4/25/2022 1:44:2
吉嘉慧,the.hon.art.skiles@yahoo.com,0905290771,彰化縣,,,否,否,否,4/25/2022 2:1:54
能惠如,leslie.bahringer@hotmail.com,0938432848,新北市,,,否,是,否,4/25/2022 2:16:49
連建志,rep.shelia.kiehn@gmail.com,0987097606,高雄市,陳雅婷證券,,否,否,是,4/25/2022 2:18:2
雲佳玲,fr.mendy.breitenberg@yahoo.com,0910250951,臺北市,,,否,否,否,4/25/2022 2:34:1
易鈺婷,jody.tromp@hotmail.com,0995500300,嘉義縣,,iOS 開發者,否,否,否,4/25/2022 2:46:15
蕭智偉,ollie.ratke@hotmail.com,0905859227,臺中市,,iOS 開發者,否,否,否,4/25/2022 4:51:21
馬嘉玲,jaimee.barrows@yahoo.com,0972390790,新竹縣,,Android 開發者,否,否,否,4/25/2022 5:3:26
闕欣儀,chiquita.boyer@gmail.com,0980082202,雲林縣,,,否,否,否,4/25/2022 5:9:49
扈雅君,james.mcdermott@yahoo.com,0941744330,新竹縣,,,否,否,否,4/25/2022 5:21:44
張芳儀,alex.thiel@yahoo.com,0903581878,基隆市,易怡君證券,技術總監,否,否,否,4/25/2022 9:18:46
畢怡如,ligia.lindgren@hotmail.com,0983994047,彰化縣,,,否,是,否,4/25/2022 11:22:31
長孫美慧,norris.auer@yahoo.com,0947653477,花蓮縣,謝淑慧網,,是,否,否,4/25/2022 12:25:48
左詩婷,arlen.legros@gmail.com,0979229761,嘉義市,竺佳玲企業,,否,是,否,4/25/2022 12:47:45
烏怡慧,ambrose.champlin@gmail.com,0913792349,臺南市,,,否,否,否,4/25/2022 12:57:1
茅家豪,alease.schuster@hotmail.com,0916331808,桃園市,袁俊賢電腦,,否,否,否,4/25/2022 12:57:26
章慧玲,ai.little@hotmail.com,0986227818,桃園市,,,否,否,否,4/25/2022 16:7:17
後雅君,hans.jones@gmail.com,0930287431,嘉義縣,,前端開發者,否,否,否,4/25/2022 16:15:22
米佳蓉,darwin.nader@hotmail.com,0928757002,金門縣,,Android 開發者,否,否,否,4/25/2022 16:59:26
景建文,val.nitzsche@yahoo.com,0985580455,新竹縣,,,否,否,否,4/25/2022 18:7:42
安建良,arden.conroy@hotmail.com,0903030211,臺南市,,,否,否,否,4/25/2022 18:13:43
管建文,mrs.oretha.gulgowski@yahoo.com,0943828763,臺東縣,湯俊賢有限公司,,否,否,否,4/25/2022 18:34:5
常惠玲,msgr.ara.kuvalis@yahoo.com,0936326373,連江縣,,,是,否,是,4/25/2022 19:28:9
邱怡慧,vaughn.konopelski@gmail.com,0963134587,苗栗縣,,實習生,否,否,否,4/25/2022 21:35:37
闞佳蓉,lenore.schaefer@yahoo.com,0957394722,花蓮縣,,,否,是,否,4/26/2022 3:9:18
巴家豪,prof.janna.greenholt@gmail.com,0930702748,宜蘭縣,,助理工程師,否,否,否,4/26/2022 3:37:49
終家榮,dennis.monahan@yahoo.com,0966921683,新竹縣,,,否,否,否,4/26/2022 3:44:7
溥佳慧,raul.little@hotmail.com,0980151302,基隆市,,後端開發者,否,否,是,4/26/2022 3:53:28
貝靜宜,dannie.rogahn@hotmail.com,0935263357,連江縣,,,否,否,否,4/26/2022 4:23:5
畢文傑,marlys.ondricka@yahoo.com,0987847558,連江縣,,,否,否,否,4/26/2022 14:51:5
鞏佳慧,elizebeth.hilpert@yahoo.com,0975378591,金門縣,,前端開發者,否,否,否,4/26/2022 16:52:16
徐離怡靜,tula.pollich@yahoo.com,0937563626,連江縣,,Android 工程師,否,否,否,4/26/2022 17:17:55
昝淑萍,arnold.kirlin@yahoo.com,0987799038,澎湖縣,昝佳樺有限公司,,否,否,否,4/26/2022 17:40:36
索智偉,ramonita.torphy@gmail.com,0925440268,嘉義縣,,,否,否,否,4/26/2022 18:36:34
